series,date,pir
cpih,February 2019,1.8
cpih,March 2019,1.8
cpih,April 2019,2.0
cpih,May 2019,1.9
cpih,June 2019,1.9
cpih,July 2019,2.0
cpih,August 2019,1.7
cpih,September 2019,1.7
cpih,October 2019,1.5
cpih,November 2019,1.5
cpih,December 2019,1.4
cpih,January 2020,1.8
cpih,February 2020,1.7
cpih,March 2020,1.5
cpih,April 2020,0.9
cpih,May 2020,0.7
cpih,June 2020,0.8
cpih,July 2020,1.1
cpih,August 2020,0.5
cpih,September 2020,0.7
cpih,October 2020,0.9
cpih,November 2020,0.6
cpih,December 2020,0.8
cpih,January 2021,0.9
cpih,February 2021,0.7
cpih,March 2021,1.0
cpih,April 2021,1.6
cpih,May 2021,2.1
cpih,June 2021,2.4
cpih,July 2021,2.1
cpih,August 2021,3.0
cpih,September 2021,2.9
cpih,October 2021,3.8
cpih,November 2021,4.6
cpih,December 2021,4.8
cpih,January 2022,4.9
